index,frequency,phase
1,100,0
2,110,143
3,130,-25
4,170,4
5,210,135
6,250,136
7,310,5
8,370,250
9,440,184
10,520,129
11,640,1
12,750,12
13,900,54
14,1000,164
15,1100,51
16,1300,-5
17,1700,235
18,2100,46
19,2500,177
20,3100,78
21,3700,5
22,4400,-53
23,5200,136
24,6400,134
25,7500,54
26,9000,25
27,10000,138
28,11000,59
29,13000,50
30,17000,154
31,21000,67
32,25000,318
33,31000,242
