index,frequency,phase
1,1,4
2,3,-27
3,4,151
4,7,93
5,10,6
6,13,180
7,21,187
8,27,-63
9,31,182
10,37,-173
11,44,26
12,51,-83
13,64,175
14,73,-82
15,83,-86
16,90,54
17,97,-14
18,110,143
19,130,44
20,170,4
21,250,136
22,370,250
23,520,129
24,750,12
25,1000,164
26,1300,-5
27,2100,46
28,3100,78
29,5000,-53
