index,frequency,phase
1,1,4
2,3,-27
3,4,151
4,7,93
5,10,6
6,13,180
7,21,187
8,31,182
9,44,26
10,64,175
11,90,54
12,110,143
13,170,4
14,250,136
15,370,250
16,520,129
17,750,12
18,1000,164
