freq,Z_corr,phase_corr
10.0,0.0001414213562373095,45.0
12.742749857031335,0.00973658224476494,35.884555631143556
16.237767391887218,0.01933531324504813,35.83097983801209
20.6913808111479,0.028934058140129656,35.81298585325008
26.366508987303583,0.03853280653856162,35.803963267069165
33.59818286283781,0.04813155634311993,35.7985414984027
42.81332398719393,0.05773030685207581,35.79492355596749
54.5559478116852,0.06732905776403579,35.79233762940085
69.51927961775606,0.07692780892808855,35.790397263891606
88.58667904100822,0.08652656026030957,35.78888754485381
112.88378916846884,0.0961253117103058,35.787679425567546
143.8449888287663,0.10572406324599005,35.786690736773174
183.29807108324357,0.11532281484596069,35.785866672949226
233.57214690901213,0.12492156649539533,35.78516927702605
297.63514416313194,0.1345203181837032,35.784571427981106
379.26901907322497,0.14411906990311557,35.78405323156835
483.2930238571752,0.1537178216478045,35.78359976355967
615.8482110660261,0.16331657341331243,35.78319960895523
784.7599703514607,0.17291532519617167,35.78284388781519
1000.0,0.18251407699364425,35.782525588538995
