freq,Z_corr,phase_corr
1.0,1.007130419759946,-0.00044477718615179687
3.0000000000000004,1.007014936920238,0.009288667429017818
4.0,1.0074157271437432,-0.06193186157029567
7.000000000000001,1.0071680966405474,0.07843818964074582
10.0,1.0054745292153637,-0.004153011356587989
13.000000000000002,1.0065592863656543,0.0007691952032959406
21.0,1.0062599282105218,0.025759692396414038
27.0,1.0090313067295225,0.2343068043425265
31.0,1.0099666985451747,0.17550972424136888
37.00000000000001,1.0063357114254703,0.013177840107020567
44.0,1.006941295055664,0.15822639045000506
51.00000000000001,1.0095123826503367,-0.09896211956544061
64.0,1.0052201804725147,-0.24266112281821903
73.00000000000001,1.00391664843573,-0.17588427089348566
83.00000000000001,0.9981859230876644,0.20455518966274533
90.00000000000001,1.0005954295178516,0.2017247442140381
97.0,0.9959305431793413,0.3173071350359518
110.0,0.9999941281680708,0.619224093271237
130.00000000000003,1.000970155045224,0.5213836384058781
170.0,1.0011744155297422,1.0156031047804293
250.0,1.0010891540162787,1.3469439138860801
370.0,0.9970824769179392,2.2068166890008936
520.0000000000001,1.00643584135811,3.072610499150042
750.0000000000001,1.0097436947699947,4.500500448042176
1000.0,1.0069214018771222,6.219928886381148
1300.0000000000002,1.0077213703284627,7.87637865234571
2100.0,1.0251232908832266,12.551370721462048
3100.0000000000005,1.0485534121437856,17.67979460998723
5000.0,1.1217912659937175,27.001990532552416
