freq,Z_corr,phase_corr
1.0,1.0068497651187542,-0.3387955274780186
3.0000000000000004,1.0102370729205448,0.3105193984112783
4.0,1.005439609616929,0.038255500824104255
7.000000000000001,1.0014298861018869,-0.32052526862975866
10.0,1.0058958618628648,0.06263566728313578
13.000000000000002,1.012437015660498,-0.27647180011246886
21.0,1.003969218337226,0.05148180279617762
31.0,1.0015049617695206,-0.007822316452800899
44.0,1.0137411709166328,-0.21882632734564456
64.0,1.0142525250419756,0.14898351770466067
90.00000000000001,0.9960172399192334,0.3648307116254608
110.0,1.0076393278512368,0.29118107743593674
170.0,0.9960660710904305,0.8964747114108617
250.0,1.0023424361824842,2.194608789905209
370.0,0.9969148126250708,1.4967689526043444
520.0000000000001,1.0099240787187673,2.6576198864576477
750.0000000000001,1.0251207526428334,4.40452563293037
1000.0,0.9753306984122161,5.883502582047285
1300.0000000000002,1.017068217020514,6.433861914860941
2100.0,1.0223800616194099,11.965076528777395
3100.0000000000005,1.0642891448467318,16.63845919983327
5000.0,1.1664680200624842,27.30543295639359
