freq,Z_corr,phase_corr
1.0,1.0077023875062603,-0.18081913853791
3.0000000000000004,1.0115726163766803,-0.10884393410666028
4.0,1.0089539424926008,0.0009293138402433713
7.000000000000001,1.008639714223056,-0.0018744627624483433
10.0,1.0075396292954584,0.03517838155827258
13.000000000000002,1.0097572659843828,0.02859906725188988
21.0,1.00887119294767,0.09426971088109709
31.0,1.010267891786938,0.04305011176334811
44.0,1.0104313539769378,0.194038247678758
64.0,1.0103582715678974,-0.0927304503397985
90.00000000000001,1.002586177320929,0.16559708247062999
110.0,1.005078813507758,0.46327817604849103
170.0,1.0038707365296757,0.9570692458415863
250.0,1.0034596968850407,1.3954438111632224
370.0,1.003881347184002,2.1067364779582953
520.0000000000001,1.0056271224134146,3.0162643451433517
750.0000000000001,1.006668214755591,4.370874398802794
1000.0,1.0089876164902123,5.974121613863445
1300.0000000000002,1.0125319396870187,7.6656591903759015
2100.0,1.028689836035296,12.366353469305288
3100.0000000000005,1.054353297191422,17.745156486092203
5000.0,1.1328132337683123,27.31917926927105
